"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Manage customers list","Sort customers by PostCode ascending","0","0","1","0","0"
"","Manage customers list","Sort customers by PostCode descending","0","0","1","0","0"
"","Manage customers list","Delete a specific customer by first name","0","0","1","0","0"
"","Customer deposits money","Deposit money successfully","0","0","2","0","0"
"","Manage customers list","Search existing customer by first name","0","0","1","0","0"
"","Login to XYZ Bank application","Login as Customer","0","0","2","0","0"
"","Add new customer","Add customer successfully","0","0","2","0","0"
"","Login to XYZ Bank application","Login as Bank Manager","0","0","1","0","0"
"","Open a new account","Manager opens an account for an existing customer","0","0","2","0","0"
